0,zero
1,motor
2,button
3,screen
4,time
5,five
6,six
7,seven
8,eight
9,currS
10,hour1
11,min1
12,am1
13,hour2
14,min2
15,am2
16,hour3
17,min3
18,am3
19,currH
20,currM
21,currAM
22,duration
23,twoThree
24,twoFour
25,twoFive
26,twoSix
27,twoSeven
28,twoEight
29,twoNine
30,thirty
31,threeOne
